txn_id,customer_id,card_type,payment_mode,merchant,location,device,is_international,amount,score,predicted,actual,correct,latency_ms,timestamp
TXN-191050,CUST-2514,MasterCard,UPI,Restaurant,UK,POS,1,20.8127848594378,2.5800534331210656e-06,0,0,1,89.73860740661621,2026-05-04 14:45:36.543924
TXN-245035,CUST-4782,MasterCard,Online,Electronics,Dubai,Mobile,1,443.4842843140864,0.9991812407970428,1,1,1,96.50087356567383,2026-05-04 14:45:36.661938
TXN-183770,CUST-2733,RuPay,UPI,Flipkart,Chennai,Laptop,0,17.279434647652497,1.5365530998678878e-06,0,0,1,53.51853370666504,2026-05-04 14:45:36.743388
TXN-191910,CUST-3447,Visa,Online,Electronics,Chennai,Mobile,0,24.977186670773737,1.5365530998678878e-06,0,0,1,49.73101615905762,2026-05-04 14:45:36.817641
TXN-127110,CUST-2950,Visa,Online,Flipkart,USA,Laptop,1,53.37971139395928,1.831585677791736e-06,0,0,1,55.28092384338379,2026-05-04 14:45:36.901184
TXN-382248,CUST-2903,MasterCard,Online,Amazon,Chennai,Mobile,0,4.1848924484586,1.5337303693740978e-06,0,0,1,51.067352294921875,2026-05-04 14:45:36.975460
TXN-267686,CUST-3619,RuPay,Online,Grocery,USA,Mobile,1,7.939677389977408,2.650747774168849e-06,0,0,1,57.442426681518555,2026-05-04 14:45:37.059185
TXN-103233,CUST-4177,RuPay,UPI,Electronics,Dubai,Laptop,1,23.4971010274895,1.6600887420281651e-06,0,0,1,48.52652549743652,2026-05-04 14:45:37.143170
TXN-110611,CUST-1518,RuPay,Card Swipe,Amazon,Chennai,Laptop,0,52.07597992401316,9.372208296554163e-06,0,0,1,52.690982818603516,2026-05-04 14:45:37.224570
TXN-289123,CUST-2372,Visa,Card Swipe,Electronics,UK,Mobile,1,43.07475360888243,1.4201272051650449e-06,0,0,1,148.53811264038086,2026-05-04 14:45:37.398381
TXN-336167,CUST-3438,Visa,Online,Flipkart,Mumbai,POS,0,46.9216361698633,4.293433903512778e-06,0,0,1,47.631263732910156,2026-05-04 14:45:37.469539
TXN-152596,CUST-3102,Visa,Online,Flipkart,UK,Laptop,1,147.53999479670233,3.571512252165121e-06,0,0,1,54.33344841003418,2026-05-04 14:45:37.554210
TXN-224045,CUST-1283,MasterCard,UPI,Restaurant,Chennai,Laptop,0,7.977837798798179,1.5365530998678878e-06,0,0,1,55.08542060852051,2026-05-04 14:45:37.633762
TXN-227083,CUST-2046,Visa,UPI,Restaurant,Dubai,Mobile,1,14.280574808147058,2.032071961366455e-06,0,0,1,53.804874420166016,2026-05-04 14:45:37.710247
TXN-121374,CUST-2364,RuPay,Card Swipe,Electronics,Bangalore,Mobile,0,88.0113283023183,3.0420324037550017e-06,0,0,1,51.400184631347656,2026-05-04 14:45:37.785837
TXN-117046,CUST-1315,MasterCard,Online,Flipkart,Hyderabad,POS,0,32.49547960527852,1.3109580550008104e-06,0,0,1,49.932003021240234,2026-05-04 14:45:37.861205
TXN-173448,CUST-2444,Visa,UPI,Electronics,Mumbai,POS,0,18.35533804922467,7.29127259546658e-06,0,0,1,53.2379150390625,2026-05-04 14:45:37.942511
TXN-245570,CUST-3915,MasterCard,Card Swipe,Restaurant,Dubai,Mobile,1,7.410249919554655,7.578611075587105e-06,0,0,1,53.74288558959961,2026-05-04 14:45:38.021621
TXN-195204,CUST-1196,MasterCard,Online,Grocery,Hyderabad,POS,0,136.49780740811372,1.4158283647702774e-06,0,0,1,53.072214126586914,2026-05-04 14:45:38.099363
TXN-188414,CUST-2114,RuPay,Online,Electronics,Hyderabad,POS,0,61.10202633727903,1.3109580550008104e-06,0,0,1,47.69158363342285,2026-05-04 14:45:38.172359
TXN-229526,CUST-3215,MasterCard,UPI,Electronics,Chennai,Mobile,0,64.73937307372374,3.386963044249569e-06,0,0,1,54.52728271484375,2026-05-04 14:45:38.257046
TXN-283154,CUST-4428,MasterCard,Online,Electronics,USA,Laptop,1,312.6732571762405,0.9996257722377777,1,1,1,54.87942695617676,2026-05-04 14:45:38.336841
TXN-296395,CUST-2482,MasterCard,Online,Grocery,Dubai,Mobile,1,57.89466440064132,1.5365530998678878e-06,0,0,1,55.62615394592285,2026-05-04 14:45:38.431315
TXN-269329,CUST-4888,MasterCard,UPI,Restaurant,Delhi,Mobile,0,250.209903954357,1.5337303693740978e-06,0,0,1,48.44832420349121,2026-05-04 14:45:38.503327
TXN-109442,CUST-3573,MasterCard,UPI,Amazon,Delhi,POS,0,4.655342957465554,2.5652270778664388e-06,0,0,1,54.01349067687988,2026-05-04 14:45:38.586416
TXN-235711,CUST-3794,RuPay,UPI,Grocery,Bangalore,POS,0,117.1365020909689,2.821447196765803e-06,0,0,1,53.211212158203125,2026-05-04 14:45:38.663192
TXN-330153,CUST-2225,MasterCard,Online,Amazon,Hyderabad,Mobile,0,67.95424006979388,2.044163693426526e-06,0,0,1,52.718162536621094,2026-05-04 14:45:38.740776
TXN-269460,CUST-4162,RuPay,Card Swipe,Electronics,Dubai,Laptop,1,210.0619748755116,2.9162938517401926e-06,0,0,1,54.392337799072266,2026-05-04 14:45:38.820352
TXN-194187,CUST-1458,Visa,Card Swipe,Grocery,Hyderabad,POS,0,33.243188618702334,4.03722742703394e-06,0,0,1,54.52322959899902,2026-05-04 14:45:38.897928
TXN-121684,CUST-2807,Visa,UPI,Restaurant,Mumbai,Mobile,0,53.98723326405337,2.1034559267718578e-06,0,0,1,53.40409278869629,2026-05-04 14:45:38.976049
TXN-332728,CUST-3695,Visa,Online,Electronics,UK,Laptop,1,79.91777614580252,0.9996075630187988,1,1,1,53.32350730895996,2026-05-04 14:45:39.053019
TXN-252175,CUST-4769,Visa,UPI,Electronics,Dubai,Mobile,1,260.8751761231633,0.9996075630187988,1,1,1,51.502227783203125,2026-05-04 14:45:39.129618
TXN-360222,CUST-1553,RuPay,Card Swipe,Petrol Pump,Bangalore,Mobile,0,13.723018122974564,1.4201272051650449e-06,0,0,1,51.48458480834961,2026-05-04 14:45:39.206563
TXN-184762,CUST-3290,Visa,Card Swipe,Flipkart,Delhi,Mobile,0,33.42086523695854,4.148260359215783e-06,0,0,1,55.39298057556152,2026-05-04 14:45:39.287496
TXN-218448,CUST-1977,Visa,Card Swipe,Electronics,USA,POS,1,44.45827020240781,1.6644894458295312e-06,0,0,1,52.915334701538086,2026-05-04 14:45:39.363586
TXN-238744,CUST-4999,MasterCard,Online,Restaurant,Mumbai,Mobile,0,50.76318061048736,1.3109580550008104e-06,0,0,1,53.0397891998291,2026-05-04 14:45:39.440856
TXN-239808,CUST-2814,MasterCard,Online,Electronics,Mumbai,Laptop,0,16.849712486989247,1.9928290839743568e-06,0,0,1,54.734230041503906,2026-05-04 14:45:39.520630
TXN-254002,CUST-3111,Visa,Card Swipe,Electronics,USA,Mobile,1,14.197933577372051,2.0296799903007923e-06,0,0,1,52.33621597290039,2026-05-04 14:45:39.596050
TXN-231154,CUST-3627,RuPay,Card Swipe,Amazon,Delhi,POS,0,3.8834369443949406,1.5337303693740978e-06,0,0,1,53.52425575256348,2026-05-04 14:45:39.675711
TXN-152697,CUST-4437,RuPay,UPI,Amazon,UK,Mobile,1,24.00710520377188,1.573720624037378e-06,0,0,1,48.69365692138672,2026-05-04 14:45:39.748668
TXN-160005,CUST-3738,MasterCard,UPI,Amazon,Delhi,POS,0,141.4905422325972,2.703774043766316e-06,0,0,1,52.37388610839844,2026-05-04 14:45:39.830053
TXN-155647,CUST-4945,RuPay,Online,Petrol Pump,Dubai,POS,1,46.85109211437658,2.886755510189687e-06,0,0,1,53.43222618103027,2026-05-04 14:45:39.909180
TXN-274176,CUST-1819,MasterCard,Online,Petrol Pump,Mumbai,Laptop,0,7.570109767089956,1.3109580550008104e-06,0,0,1,53.01809310913086,2026-05-04 14:45:39.985006
TXN-106805,CUST-3228,MasterCard,UPI,Grocery,Mumbai,Mobile,0,97.0414199071392,1.4158283647702774e-06,0,0,1,51.13029479980469,2026-05-04 14:45:40.060831
